"Data","Ultimo","Apertura","Massimo","Minimo","Vol.","Var. %"
"20.03.2020","12,22","13,15","13,47","11,85","38,67M","-1,85%"
"19.03.2020","12,45","11,00","13,05","10,50","68,11M","12,67%"
"18.03.2020","11,05","11,70","12,20","10,50","73,47M","-15,52%"
"17.03.2020","13,08","13,66","14,11","13,00","53,01M","-0,38%"
"16.03.2020","13,13","13,99","14,67","13,10","39,54M","-17,21%"
"13.03.2020","15,86","15,50","15,86","13,13","59,12M","22,76%"
"12.03.2020","12,92","13,61","13,85","11,63","51,17M","-21,08%"
"11.03.2020","16,37","17,48","18,06","15,63","56,29M","-10,84%"
"10.03.2020","18,36","19,45","19,75","17,10","82,96M","8,51%"
"09.03.2020","16,92","19,00","19,49","16,44","109,08M","-29,68%"
"06.03.2020","24,06","25,68","25,68","23,72","56,85M","-10,26%"
"05.03.2020","26,81","27,70","27,98","26,21","27,39M","-5,00%"
"04.03.2020","28,22","28,32","28,40","27,61","25,86M","2,62%"
"03.03.2020","27,50","28,04","28,86","27,10","35,87M","-2,14%"
"02.03.2020","28,10","27,15","28,28","27,08","26,82M","3,50%"
"28.02.2020","27,15","26,61","27,15","25,92","38,54M","1,19%"
"27.02.2020","26,83","27,41","28,04","26,29","40,11M","-3,42%"
"26.02.2020","27,78","28,71","28,79","27,67","38,08M","-9,95%"
"21.02.2020","30,85","31,51","31,51","30,56","18,87M","-2,83%"
"20.02.2020","31,75","32,87","33,00","31,64","23,05M","-2,52%"
"19.02.2020","32,57","31,99","32,65","31,90","11,67M","1,97%"
"18.02.2020","31,94","31,33","32,05","31,08","13,30M","0,76%"
"17.02.2020","31,70","31,84","31,93","31,50","8,67M","0,25%"
"14.02.2020","31,62","32,05","32,12","31,49","13,54M","-0,97%"
"13.02.2020","31,93","32,15","32,54","31,71","17,44M","-1,90%"
"12.02.2020","32,55","32,36","32,68","32,06","38,80M","1,69%"
"11.02.2020","32,01","31,76","32,26","31,57","45,21M","1,36%"
"10.02.2020","31,58","31,46","31,67","30,86","137,41M","0,38%"
"07.02.2020","31,46","31,05","31,89","30,92","60,86M","0,51%"
"06.02.2020","31,30","30,90","31,99","30,55","91,90M","2,69%"
"05.02.2020","30,48","31,27","31,41","30,48","33,16M","-0,88%"
"04.02.2020","30,75","30,51","31,24","30,43","18,75M","2,47%"
"03.02.2020","30,01","30,36","30,61","30,01","8,80M","-1,12%"
"31.01.2020","30,35","30,53","30,74","30,08","12,10M","-2,07%"
"30.01.2020","30,99","29,82","30,99","29,77","13,53M","2,08%"
"29.01.2020","30,36","30,60","30,92","30,31","14,56M","-0,46%"
"28.01.2020","30,50","30,19","30,89","30,12","16,36M","2,35%"
"27.01.2020","29,80","30,23","30,32","29,52","12,02M","-4,21%"
"24.01.2020","31,11","31,11","31,32","30,53","24,10M","-0,38%"
"23.01.2020","31,23","30,80","31,25","30,19","14,89M","0,68%"
"22.01.2020","31,02","31,10","31,21","30,85","11,88M","0,00%"
"21.01.2020","31,02","31,72","31,84","31,02","7,71M","-3,00%"
"20.01.2020","31,98","31,70","32,14","31,52","5,12M","0,41%"
"17.01.2020","31,85","31,30","31,85","31,30","13,84M","2,02%"
"16.01.2020","31,22","31,20","31,33","30,93","6,66M","0,32%"
"15.01.2020","31,12","31,60","31,67","31,10","7,11M","-2,23%"
"14.01.2020","31,83","31,96","32,14","31,45","6,75M","-0,81%"
"13.01.2020","32,09","32,15","32,26","31,89","6,67M","-0,03%"
"10.01.2020","32,10","32,26","32,31","31,97","3,87M","-0,40%"
"09.01.2020","32,23","32,10","32,36","31,83","15,41M","0,56%"
"08.01.2020","32,05","32,70","32,75","31,79","10,03M","-1,63%"
"07.01.2020","32,58","32,99","33,03","32,41","5,48M","-1,36%"
"06.01.2020","33,03","32,00","33,12","31,78","17,55M","3,25%"
"03.01.2020","31,99","33,00","33,23","31,99","20,34M","-2,47%"
